"x","y"
505586.412314226,5631717.17180832
503076.922706112,5632020.15838652
505438.982005015,5632231.28477398
514003.575384284,5632157.69038543
514965.098127041,5631855.53323217
519383.701482222,5631803.327513
521234.573606186,5631813.71531457
503781.526528199,5632586.07521242
523006.285051716,5632506.25129005
519248.518350202,5633165.08773559
513963.410201266,5633559.82407493
503318.545872129,5634182.56629464
515423.346611455,5634179.44671966
496129.839369229,5634532.10936506
497192.81063801,5634344.78977819
502430.78460709,5634412.51381413
503611.428007617,5634719.24073734
506954.799163056,5634439.79988534
524386.907235154,5634721.3309259
504198.426647129,5635115.66666428
514051.180031167,5635166.37061008
517924.219942319,5636621.96131652
516910.022933286,5637121.21613785
520024.890432035,5637149.56136335
487641.759684326,5637336.91787483
499944.78456375,5637373.93865975
518258.368305646,5637589.81741216
524093.555900984,5637491.24149718
499424.490171734,5637868.08604452
506408.810726151,5637929.42896179
504535.253152734,5638545.56990655
513831.944028282,5638399.10678119
514744.980114296,5638532.95098253
487743.520975945,5638772.37588175
489928.700984123,5639155.85641524
490034.248989441,5639105.46344573
499827.15091111,5638937.19561871
507892.885524796,5638816.96177643
508178.70374922,5639185.37273789
490938.802750565,5639727.62684136
495533.929651736,5639469.46206731
509989.845265768,5639513.483184
486840.878805046,5640032.58230068
506747.431496175,5640202.85878478
507062.06389949,5640120.39814711
487625.129812414,5640398.8890275
494404.300880286,5640714.34939253
502603.221772255,5641213.81033767
502869.822966883,5641950.18551832
504764.764139562,5642200.37671745
486747.021803882,5642430.37041773
510480.93825138,5642888.94689161
503830.883134057,5643313.48869736
505844.919111596,5643744.22430755
515988.820117682,5643654.29834692
522464.23476226,5643393.81266719
489634.419462893,5643928.68689676
490548.445772396,5644203.56210259
501696.239420579,5643808.22088845
511062.772785912,5644083.45990682
514446.944536658,5643977.38658167
496054.647236381,5644268.7414883
506012.385129945,5644734.41861228
488734.539271,5644827.53675695
506364.691006619,5645130.1932735
517714.066232222,5645080.07515462
488021.922691276,5645332.1663624
488475.627208262,5645375.88502428
488313.015464244,5645590.01275451
489188.454071542,5645620.58607729
489188.231033872,5645659.1371259
490561.743952234,5645610.50600869
493814.934010518,5645589.1472925
486740.260245994,5645927.81832787
489939.194786961,5645989.57233546
493756.287574552,5645983.60879506
495655.323861882,5646063.85906141
498112.200842954,5645896.85385868
500929.153007123,5646157.73723433
502825.323137821,5645992.67231844
521739.239487814,5646238.40064563
490435.747764556,5646356.77741895
500670.567668991,5646620.36636328
