"x","y"
487853.06459795,5631769.15576852
515072.206542844,5632011.17261251
522552.436398941,5631881.45411383
496792.051385639,5632678.24304065
515198.218647989,5632457.8575864
486523.788588604,5632923.8677206
487332.436647516,5632898.50743588
488308.016259124,5633233.41248308
494679.06562683,5633202.82453621
508660.063580394,5632980.66972669
513748.772940266,5633206.79874866
514174.467402527,5632912.46973242
514419.49379504,5633166.87325186
515536.059683206,5632972.45686125
519102.270579215,5632806.15095499
521117.456434893,5633110.48955769
486927.479503227,5633397.83463437
486881.215059797,5633580.39716278
488598.023345245,5633267.29054233
498812.968828965,5633494.20133101
508763.606711308,5633363.51683662
515140.54798255,5633727.60597752
516752.861316449,5633836.51178186
497076.100320339,5634577.859348
500855.326427862,5634390.59738846
510829.495711385,5634620.36445139
514083.675414573,5634428.08925228
517294.385956966,5634302.18425901
523544.836570293,5634511.79428837
501646.97042249,5634902.40953917
501857.286155241,5635083.97560947
522434.783352905,5634895.67648464
502250.388042436,5635459.43669039
505266.54881066,5635532.0055134
510397.962452861,5635557.81298686
519044.491779542,5635443.18602544
519751.311584509,5635635.49019951
521106.921728368,5635391.70984326
523580.904887657,5635444.18260661
488862.397763429,5636078.56238909
517985.860209929,5636200.09139456
520047.764761972,5636235.80822147
522178.455910197,5636190.28113709
524125.019001326,5636045.15677209
515797.019192267,5636608.12673644
518073.256011021,5636319.51743931
519911.087241157,5636360.52936242
522311.953073501,5636630.59086593
517067.738716973,5637138.89017034
487778.766659222,5637467.31604224
498584.769109397,5637691.7761657
511938.237037526,5637638.51764561
512676.755501673,5637388.92214241
487585.872724203,5638538.65168135
502755.604098917,5638431.84044336
507867.563326743,5638721.73425528
489237.321028619,5639108.53613606
490092.086932988,5638899.78189413
504471.16770923,5638933.95240682
510117.652947449,5638881.87414217
513015.523975965,5638789.8230054
488647.805387055,5639344.59104629
490856.687349517,5639416.20460987
494540.174603246,5639496.24543098
504665.658961765,5639505.80035216
506533.343083242,5639340.91833893
514326.359220564,5639735.96702652
516906.861990009,5639471.99393514
517856.597944296,5639291.14859827
486996.930414013,5639908.90208989
