Trap_index,x,y
586,513987.787215289,5649760.46939679
621,513987.787215289,5650760.46939679
622,514987.787215289,5650760.46939679
656,513987.787215289,5651760.46939679
657,514987.787215289,5651760.46939679
658,515987.787215289,5651760.46939679
777,494987.787215289,5655760.46939679
801,518987.787215289,5655760.46939679
802,519987.787215289,5655760.46939679
811,493987.787215289,5656760.46939679
812,494987.787215289,5656760.46939679
836,518987.787215289,5656760.46939679
837,519987.787215289,5656760.46939679
871,518987.787215289,5657760.46939679
985,492987.787215289,5661760.46939679
986,493987.787215289,5661760.46939679
987,494987.787215289,5661760.46939679
1020,492987.787215289,5662760.46939679
1021,493987.787215289,5662760.46939679
1022,494987.787215289,5662760.46939679
